laser convert, process measure, 
0.963951,2.94529,
0.81273,11.0453,
0.821958,11.3652,
1.07905,10.4677,
0.731645,10.5896,
1.02104,10.653,
0.836357,10.4702,
1.11739,11.9614,
0.713619,10.4114,
1.09839,10.4438,
0.817168,10.6152,
0.893984,11.6439,
0.82881,11.4186,
0.831646,10.7921,
0.867497,11.0336,
1.00578,10.5149,
0.834788,10.7666,
0.737631,11.0556,
0.815055,10.6504,
0.83204,11.023,
1.00287,11.0547,
0.832982,11.7202,
0.82916,11.5887,
0.813763,11.5946,
0.84358,10.8849,
1.0413,15.2724,
1.33394,14.9814,
1.35283,15.1636,
1.04692,15.341,
0.922384,15.3502,
0.82097,14.975,
1.36959,14.9717,
0.896343,14.9146,
0.972467,14.7077,
1.07409,10.4002,
0.775888,9.86267,
1.05478,10.0073,
1.06604,10.3106,
0.856519,9.83577,
1.02623,9.75271,
1.04447,10.148,
1.01155,10.4068,
0.968197,10.4146,
0.788212,10.483,
1.0427,10.5539,
1.04943,10.2454,
0.795098,10.6607,
1.07829,10.1113,
0.754593,10.9855,
0.739333,10.9272,
1.01849,11.2786,
0.73986,10.7201,
1.02628,11.0077,
0.781916,10.965,
0.816086,10.7691,
0.974459,10.8583,
0.723462,10.4611,
0.741155,10.8798,
1.00724,10.8324,
0.786548,15.6928,
1.41,15.7451,
1.06339,29.5104,
1.38262,15.4349,
1.41777,15.2742,
1.43541,11.0702,
1.04568,11.6017,
1.08708,11.1109,
0.744833,11.281,
1.07576,11.8659,
0.797992,11.7648,
1.11111,11.5187,
0.883113,11.7693,
1.11656,11.7445,
0.853062,11.6865,
1.00933,11.6624,
0.850532,11.5954,
1.10192,11.6938,
1.15874,11.8381,
0.808513,11.8069,
1.06429,11.7504,
0.718203,11.5648,
1.05345,11.5321,
0.799177,11.37,
1.13195,11.6689,
0.852295,11.7308,
0.703157,11.545,
1.1616,11.6672,
0.684227,11.7026,
1.10832,11.526,
0.872052,11.6491,
0.884935,11.5334,
1.48392,13.1267,
0.77837,11.77,
0.82172,11.4453,
1.10396,11.6266,
0.871859,11.365,
0.874897,11.7915,
1.08358,11.7833,
0.887916,11.4004,
0.545097,10.1728,
1.15054,11.1156,
0.854021,10.9432,
0.880255,10.4617,
1.11092,12.5564,
0.778442,12.5343,
1.02734,12.2216,
1.14483,13.1727,
0.831621,12.1955,
1.1042,12.445,
1.05021,12.3501,
0.72929,12.2859,
0.745804,13.2207,
1.07262,12.6814,
1.06647,12.3335,
0.81664,15.7646,
0.840041,16.4573,
1.01779,15.6455,
0.870643,16.2342,
1.12208,15.9243,
1.05947,15.9725,
0.831152,12.9581,
1.05557,12.8535,
0.728622,13.0153,
1.05335,13.0636,
0.861591,12.7435,
0.865846,13.7239,
1.08198,12.6653,
0.858404,13.461,
1.02038,12.4422,
1.02265,12.7509,
1.0654,12.9163,
0.712831,12.8373,
0.746252,12.7327,
0.983166,12.6758,
0.750952,12.6399,
0.973429,12.7841,
0.751474,17.4451,
1.07401,16.8431,
1.05893,16.5073,
1.06096,16.5236,
1.07512,16.6564,
1.0454,16.8768,
0.946573,16.8939,
0.935993,17.8663,
1.30165,17.527,
0.889763,16.2019,
1.09507,16.8111,
0.740322,12.6104,
0.999158,15.2011,
1.10512,14.215,
0.849251,14.6295,
0.886487,14.5037,
0.834926,17.2259,
0.966658,16.3761,
1.37945,16.8459,
0.901665,17.9253,
0.939837,16.6825,
1.36073,17.5274,
1.06652,17.0546,
0.990276,17.2064,
1.0607,17.3144,
0.970974,18.01,
0.888212,17.6253,
1.39287,17.5248,
0.864744,17.5273,
0.894568,17.2686,
1.3843,16.9267,
0.860986,17.0774,
0.873943,16.7585,
1.05291,16.7611,
0.992295,17.5299,
1.05645,16.8332,
1.13981,17.56,
1.07889,16.5051,
0.9284,17.3041,
1.41953,16.6277,
0.870455,16.4106,
0.86561,13.4672,
0.98517,13.8118,
0.763509,13.8027,
0.83871,13.5733,
0.762397,13.8242,
0.669352,13.6588,
0.685575,13.9292,
0.851881,13.6217,
1.01275,13.9306,
0.836644,13.4015,
0.858814,12.6884,
0.732924,12.8402,
0.84046,13.5365,
1.06784,13.4707,
0.739976,13.5232,
0.716725,13.9468,
1.08089,12.7426,
0.724206,12.964,
0.831008,12.979,
0.873851,12.6809,
0.720192,12.8201,
0.838199,13.4424,
1.07858,13.4289,
0.630985,13.4237,
0.745555,12.9796,
1.08012,17.1057,
0.721816,16.1227,
0.64421,16.5196,
0.826009,16.3646,
0.732606,16.459,
0.744939,16.8408,
0.859436,16.782,
0.725057,16.4336,
0.620081,17.5387,
1.02108,16.6855,
0.635126,16.6212,
0.627635,16.654,
1.01335,17.5349,
0.744933,16.4556,
1.06209,17.1848,
1.12962,17.6264,
1.02424,16.6999,
1.02904,17.2506,
0.94431,17.3172,
0.917798,17.0152,
1.45498,17.7821,
0.913038,16.8315,
0.907211,16.7456,
1.39631,17.5487,
0.927533,16.686,
0.967558,15.4994,
0.736004,15.6634,
0.839427,16.0195,
0.839901,16.0776,
0.851997,15.9562,
0.724436,15.7058,
0.734468,15.7381,
1.0748,14.1461,
0.729249,14.1683,
1.0544,14.1054,
0.731636,14.1472,
0.86923,13.7232,
0.742796,13.7265,
0.825781,13.5164,
0.853841,13.7004,
0.831894,13.6814,
0.849403,13.6595,
0.809605,13.5588,
1.07445,13.9653,
0.811349,13.6776,
1.08393,13.786,
0.732053,13.5299,
0.745518,13.404,
0.858369,13.5243,
0.759455,13.4242,
0.833665,13.0255,
0.851836,13.4658,
1.04295,12.7018,
1.1377,13.7189,
1.07063,12.767,
0.754753,14.3696,
0.800148,13.6571,
1.16194,18.1497,
0.736718,18.2415,
0.873146,15.5781,
1.10337,14.536,
0.658297,13.9529,
0.672669,14.4452,
1.0181,14.3724,
0.661717,13.7696,
0.687859,13.931,
1.01821,13.8483,
0.6571,12.8716,
0.663937,13.7542,
1.02259,13.7095,
0.658979,13.6411,
0.684986,13.5135,
1.02449,13.8907,
0.666021,13.5125,
0.669771,13.4583,
1.01211,13.5362,
1.06283,13.2636,
1.01934,13.5288,
0.864341,13.4454,
1.06411,13.3282,
0.750721,13.2239,
1.13476,13.12,
0.756997,13.3703,
0.707204,13.2453,
1.10085,13.1151,
0.777669,13.1461,
1.01228,13.1741,
1.04947,13.0171,
1.04237,13.2881,
1.02099,13.3794,
0.858142,13.3498,
1.01201,13.5666,
0.859879,13.6564,
1.06426,13.547,
0.767211,15.3944,
0.901341,14.5136,
1.71488,24.2819,
0.861484,15.4387,
0.975874,14.76,
0.870893,13.9888,
1.10537,14.5953,
1.12187,14.6423,
0.891285,14.833,
0.853447,14.5752,
0.812913,14.8748,
1.12796,14.6902,
0.842881,14.8734,
1.142,14.2916,
1.01663,14.4651,
0.74918,14.3369,
0.763769,14.3799,
1.03541,14.4411,
0.760321,14.2661,
0.772427,14.1716,
1.04587,14.2666,
0.75188,14.2177,
0.771579,14.3027,
1.02431,14.1965,
1.13543,14.259,
1.14239,14.1572,
0.794111,14.1715,
1.15072,14.0168,
0.818999,14.0477,
1.04368,13.8348,
0.775719,13.7484,
0.794819,13.8199,
1.07551,13.8265,
0.77446,13.8394,
1.02738,13.4089,
1.01407,13.544,
1.05142,13.6018,
1.05552,13.9604,
0.841545,14.1784,
1.10395,14.0674,
1.09788,13.8453,
0.736819,14.1096,
1.06933,17.8087,
0.739968,14.0426,
1.07177,14.2255,
0.878161,13.6941,
0.805279,13.4818,
1.12517,13.5339,
0.791189,13.6069,
0.745689,13.7054,
1.09637,13.477,
0.72673,13.2797,
0.746313,13.134,
1.09224,13.3893,
0.757068,13.4483,
0.768993,13.1329,
1.10515,13.0663,
1.03456,13.0622,
1.03796,13.0177,
0.874144,15.2171,
1.07619,14.1721,
1.0292,13.8306,
0.863155,14.148,
1.11836,13.9374,
1.03321,14.165,
1.15254,14.0994,
0.828255,13.4873,
0.81616,14.2963,
1.11789,14.2003,
0.81491,14.0892,
0.826893,13.9801,
1.14448,15.0652,
0.818535,13.7055,
0.816551,13.9371,
1.14599,13.8777,
0.747498,14.3444,
0.790892,13.8621,
1.08765,13.847,
0.738146,14.4742,
0.810563,13.5808,
1.08616,13.939,
0.748777,13.6499,
1.02764,13.6667,
0.871466,22.7615,
